data_anomaly,display,window_hours,metric,primary_model,primary_diff,primary_ci_low,primary_ci_high,primary_p_value,event_weighted_diff,event_weighted_p_value,event_weighted_effect_size,asset_weighted_diff,asset_weighted_p_value,asset_weighted_effect_size,event_mean,control_mean,event_count,control_count,asset_count,primary_p_fdr_bh,primary_p_bonferroni,primary_significant_fdr
eth_whale_dump,ETH Whale Dump,1,abs_return,event_weighted,0.15210924579199536,0.022006250687846955,0.3058807027479825,0.044041923552832915,0.15210924579199536,0.044041923552832915,0.2596171904408508,0.15210924579199536,,,0.5701105695830735,0.4180013237910781,87,870,1,0.09609146956981728,1.0,False
eth_whale_dump,ETH Whale Dump,1,realized_volatility,event_weighted,0.1511561484553467,0.01709928822365973,0.30321932402765084,0.042801035199524995,0.1511561484553467,0.042801035199524995,0.2599982720135597,0.1511561484553467,,,0.5694083079164846,0.41825215946113786,87,870,1,0.09609146956981728,1.0,False
eth_whale_dump,ETH Whale Dump,4,forward_return,event_weighted,0.07360282187796517,-0.25317951077410694,0.4342088211594676,0.6791806742625888,0.07360282187796517,0.6791806742625888,0.05162155174291128,0.07360282187796517,,,0.07183180861109732,-0.0017710132668678539,87,870,1,0.8013795547636229,1.0,False
eth_whale_dump,ETH Whale Dump,4,abs_return,event_weighted,0.14597441399565003,-0.09705332251108914,0.4398866031527793,0.3008542057229493,0.14597441399565003,0.3008542057229493,0.1326853080301031,0.14597441399565003,,,0.9751895551637896,0.8292151411681395,87,870,1,0.4658387701516634,1.0,False
eth_whale_dump,ETH Whale Dump,4,realized_volatility,event_weighted,0.31092743689443203,0.06597291664309365,0.5875568566235098,0.020900298751359982,0.31092743689443203,0.020900298751359982,0.3149736349314811,0.31092743689443203,,,1.3054040857544864,0.9944766488600544,87,870,1,0.05301487616707025,1.0,False
eth_whale_dump,ETH Whale Dump,24,forward_return,event_weighted,0.04018502847369759,-0.6109896105878766,0.7508373335915696,0.9093636265515037,0.04018502847369759,0.9093636265515037,0.012786718036709638,0.04018502847369759,,,0.2953208214414854,0.2551357929677878,87,870,1,0.9489011755320038,1.0,False
eth_whale_dump,ETH Whale Dump,24,abs_return,event_weighted,0.017648781101275546,-0.41385213812085053,0.5491993783294047,0.9411762307312053,0.017648781101275546,0.9411762307312053,0.008212017039466862,0.017648781101275546,,,2.311084517125382,2.2934357360241067,87,870,1,0.9612012569169757,1.0,False
eth_whale_dump,ETH Whale Dump,24,realized_volatility,event_weighted,0.2757702944880758,-0.10239280202037863,0.6756766566731468,0.18367366006881383,0.2757702944880758,0.18367366006881383,0.17430557312930994,0.2757702944880758,,,3.169033824989975,2.8932635305018994,87,870,1,0.31486913154653795,1.0,False
eth_whale_dump,ETH Whale Dump,72,forward_return,event_weighted,-0.662921068053792,-1.7977537804655708,0.44900587368842937,0.26849882063486474,-0.662921068053792,0.26849882063486474,-0.1322360300011746,-0.662921068053792,,,0.6220975087971712,1.2850185768509632,86,860,1,0.4295981130157836,1.0,False
eth_whale_dump,ETH Whale Dump,72,abs_return,event_weighted,0.35569180236932585,-0.36157219593373235,1.0965493481861686,0.34812551380783785,0.35569180236932585,0.34812551380783785,0.11102551614878436,0.35569180236932585,,,4.146399723553557,3.7907079211842314,86,860,1,0.5063643837204914,1.0,False
eth_whale_dump,ETH Whale Dump,72,realized_volatility,event_weighted,-0.11312040705303517,-0.6287655898995306,0.4704114053189867,0.6845117030272612,-0.11312040705303517,0.6845117030272612,-0.05457258779995699,-0.11312040705303517,,,5.432641761739492,5.545762168792527,86,860,1,0.8013795547636229,1.0,False
price_network_activity_divergence,Price/Network Activity Divergence,1,forward_return,asset_weighted,0.16745038501243767,-0.08477049089896356,0.4240941462285262,0.21265421113107844,0.2438157097634038,0.055603970831864476,0.1498766200604404,0.16745038501243767,0.21265421113107844,0.27404436172254276,0.26764286714682045,0.023827157383416637,255,2550,22,0.35197938394109535,1.0,False
price_network_activity_divergence,Price/Network Activity Divergence,1,abs_return,asset_weighted,0.46859115995528666,0.25889707777640986,0.7274901083460594,0.0010021352375300767,0.5368342106302079,1.39152046928345e-07,0.4228083739028746,0.46859115995528666,0.0010021352375300767,0.8140817385867597,1.2660293389061466,0.7291951282759387,255,2550,22,0.009620498280288737,0.04810249140144368,True
price_network_activity_divergence,Price/Network Activity Divergence,1,realized_volatility,asset_weighted,0.463256557099804,0.24415473273945873,0.7024709008231024,0.0008791221682690123,0.5306244507305666,1.0166337758471639e-07,0.4260981901370003,0.463256557099804,0.0008791221682690123,0.8257959866857084,1.2591906393510641,0.7285661886204975,255,2550,22,0.009620498280288737,0.04219786407691259,True
price_network_activity_divergence,Price/Network Activity Divergence,4,forward_return,asset_weighted,0.5346833502892986,0.05379115817278842,1.0209195727046791,0.05084444181461099,0.793271137435636,0.00020207356536596538,0.2837264502531389,0.5346833502892986,0.05084444181461099,0.44159726362435003,0.7982500353832239,0.004978897947587846,255,2550,22,0.10585706408093853,1.0,False
price_network_activity_divergence,Price/Network Activity Divergence,4,abs_return,asset_weighted,0.7047099738349268,0.2821680656141805,1.1272316153583568,0.004675644878736154,0.8257702454667175,7.250657688620546e-07,0.38272039247960404,0.7047099738349268,0.004675644878736154,0.674612521302184,2.2297239535906592,1.4039537081239417,255,2550,22,0.01860946350542805,0.2244309541793354,True
price_network_activity_divergence,Price/Network Activity Divergence,4,realized_volatility,asset_weighted,0.9325446997411152,0.5527242922518294,1.3140031929303635,0.00012279560509534235,1.0410628109143822,3.6488058969169155e-11,0.5351786948496551,0.9325446997411152,0.00012279560509534235,1.0015092557982452,2.7689012153894628,1.7278384044750805,255,2550,22,0.0019647296815254777,0.005894189044576433,True
price_network_activity_divergence,Price/Network Activity Divergence,24,forward_return,asset_weighted,2.137372679631489,0.9874478473676116,3.443340958956209,0.003704975986014362,2.3826906070078895,1.8908886344718794e-05,0.33454881152825205,2.137372679631489,0.003704975986014362,0.6959740202750732,2.4129171241519214,0.030226517144032128,255,2550,22,0.017783884732868935,0.17783884732868938,True
price_network_activity_divergence,Price/Network Activity Divergence,24,abs_return,asset_weighted,1.9353533298294052,0.9550724884954512,3.106720719140667,0.0029116473704913133,1.9714277620043794,1.2097841955578254e-05,0.35037205720322573,1.9353533298294052,0.0029116473704913133,0.7179573756497026,5.5631409701410695,3.59171320813669,255,2550,22,0.01552878597595367,0.13975907378358304,True
price_network_activity_divergence,Price/Network Activity Divergence,24,realized_volatility,asset_weighted,2.165205814955348,1.4125352541392304,3.0082455362870966,4.4694737008289944e-05,2.3015156257031304,1.7292089184300807e-13,0.6031890050824521,2.165205814955348,4.4694737008289944e-05,1.0925506334050448,6.970848075577897,4.669332449874767,255,2550,22,0.00157345423605473,0.0021453473763979173,True
price_network_activity_divergence,Price/Network Activity Divergence,72,forward_return,asset_weighted,4.642441884504455,2.2847557288796905,7.45867679393796,0.0025570568092952765,5.0127392288520145,4.923493977103398e-06,0.375091220738023,4.642441884504455,0.0025570568092952765,0.7297545027587722,5.09418923040293,0.08145000155091488,255,2550,22,0.01534234085577166,0.12273872684617326,True
price_network_activity_divergence,Price/Network Activity Divergence,72,abs_return,asset_weighted,3.9958994445392366,1.8582128570371554,6.581130350146471,0.004552467264364518,4.426165502123042,2.0460974169024193e-06,0.40094101699443085,3.9958994445392366,0.004552467264364518,0.6770706911968387,10.253422596049916,5.827257093926874,255,2550,22,0.01860946350542805,0.2185184286894969,True
price_network_activity_divergence,Price/Network Activity Divergence,72,realized_volatility,asset_weighted,3.636232957499361,2.3391908166001176,5.1193493810500215,6.556059316894708e-05,3.927396120645879,6.10200866548334e-16,0.6771387354763357,3.636232957499361,6.556059316894708e-05,1.0579117977750467,12.01561577022793,8.08821964958205,255,2550,22,0.00157345423605473,0.00314690847210946,True
project_in_trends,Project in Trends,1,forward_return,asset_weighted,0.0002256436991247742,-0.17423380536049338,0.17753762375796814,0.9980598281611319,0.07944516671887134,0.03480800609423094,0.085714512896885,0.0002256436991247742,0.9980598281611319,0.0005816307577018347,0.05213194497422225,-0.02731322174464908,803,8030,18,0.9980598281611319,1.0,False
project_in_trends,Project in Trends,1,abs_return,asset_weighted,0.15367702978914954,0.04418444321976734,0.27127631039549954,0.019725980789158763,0.10999443571045625,0.00031860182008594724,0.147886357590612,0.15367702978914954,0.019725980789158763,0.6066090329617354,0.6066544225944187,0.49665998688396246,803,8030,18,0.05301487616707025,0.9468470778796206,False
project_in_trends,Project in Trends,1,realized_volatility,asset_weighted,0.15229046653944212,0.04234938827823947,0.2712274622567012,0.020985055149465307,0.10818304037229365,0.00034064103636374365,0.14629129301386715,0.15229046653944212,0.020985055149465307,0.5995281092175976,0.6053399480765778,0.4971569077042841,803,8030,18,0.05301487616707025,1.0,False
project_in_trends,Project in Trends,4,forward_return,asset_weighted,-0.3494552714622776,-0.8491807539567884,0.09914717517497533,0.1781245922540441,0.01927629745254554,0.7909486116741192,0.010862098065109049,-0.3494552714622776,0.1781245922540441,-0.3310864473591268,0.020664994096139516,0.0013886966435939752,803,8030,18,0.31486913154653795,1.0,False
project_in_trends,Project in Trends,4,abs_return,asset_weighted,0.39068987944114636,0.1573786531862195,0.6611652035203927,0.007768516677404446,0.27070016651534023,3.112451486702782e-06,0.19334932773402094,0.39068987944114636,0.007768516677404446,0.7111043596727814,1.2170602235498829,0.9463600570345426,803,8030,18,0.02663491432252953,0.3728888005154134,True
project_in_trends,Project in Trends,4,realized_volatility,asset_weighted,0.6204721587580295,0.31537311744585744,0.9570515377449765,0.0017945997539287916,0.35593906414095855,3.658207797624819e-09,0.25514786395976324,0.6204721587580295,0.0017945997539287916,0.8710794674007832,1.5242931833404012,1.1683541191994427,803,8030,18,0.014356798031430333,0.086140788188582,True
project_in_trends,Project in Trends,24,forward_return,asset_weighted,-1.4755323337431008,-2.4489415661421643,-0.5196045804506028,0.010614565590111763,-0.5637826852199924,0.0018098165343935085,-0.12829031645019107,-1.4755323337431008,0.010614565590111763,-0.6764791971745852,-0.5610650220068677,0.002717663213124736,803,8030,18,0.03184369677033529,0.5094991483253646,True
project_in_trends,Project in Trends,24,abs_return,asset_weighted,1.2086219470625938,0.34030649327496687,2.2054624838732964,0.02399394653265229,0.7968732189024617,8.71570167288343e-09,0.23923574962534083,1.2086219470625938,0.02399394653265229,0.5841154820813985,3.263611598926174,2.4667383800237124,803,8030,18,0.05758547167836549,1.0,False
project_in_trends,Project in Trends,24,realized_volatility,asset_weighted,1.58696936526527,0.6964467899240961,2.5770099997364264,0.005040063032720097,0.8986255758931128,1.3761858200614686e-10,0.2845060308983377,1.58696936526527,0.005040063032720097,0.7586651480540444,4.1213035182330335,3.2226779423399208,803,8030,18,0.01860946350542805,0.24192302557056464,True
project_in_trends,Project in Trends,72,forward_return,asset_weighted,-2.7249165992859243,-5.359467780907833,-0.3596756721173454,0.05292853204046927,-1.1097929450457271,9.182239410593509e-05,-0.15787159018711872,-2.7249165992859243,0.05292853204046927,-0.49035131324170156,-1.073505419425063,0.036287525620663987,799,7990,18,0.10585706408093853,1.0,False
project_in_trends,Project in Trends,72,abs_return,asset_weighted,1.4132127387114704,0.5283784710742379,2.324641195791286,0.009212918192858896,1.179796015906418,1.1530843733971159e-08,0.23067969266422134,1.4132127387114704,0.009212918192858896,0.692226874212376,5.434429890237069,4.254633874330651,799,7990,18,0.02948133821714847,0.442220073257227,True
project_in_trends,Project in Trends,72,realized_volatility,asset_weighted,2.4272708195211603,1.2093589183173252,3.713056746414656,0.002275708694146276,1.3094359509485765,1.4043173422103892e-11,0.28735805449375096,2.4272708195211603,0.002275708694146276,0.8452923129765404,7.09914011604103,5.789704165092454,799,7990,18,0.01534234085577166,0.10923401731902124,True
