asset_id,asset,dt,value,metadata,data_anomaly,display,symbol
1681,ethereum,2024-12-16 15:57:35,20903946.0,"{""exchange_name"": ""bullish_com"", ""exchange_address"": ""0xbaf3046279c5a2d02abf0a105984460a9f4f2bfe"", ""interacting_address"": ""0x0ac9fce7636af8fa933068a3a5ecb71f8177c4f3"", ""tx_hash"": ""0xf474b9f8d349177a0572d3adfb8de025e54472030a3696c16bd23c1f22224205""}",eth_whale_dump,ETH Whale Dump,ETH/USDT
1681,ethereum,2024-12-26 07:53:59,12260296.0,"{""exchange_name"": ""binance"", ""exchange_address"": ""0xd866d23255653b82a66419f7337db67740f09421"", ""interacting_address"": ""0xfc44011b887a8824a708d7271e15c9ac79bb1132"", ""tx_hash"": ""0xfe42848b719bf381d36e2cde766ac43e16efbb53706217667f289db0828e6274""}",eth_whale_dump,ETH Whale Dump,ETH/USDT
1681,ethereum,2025-01-06 07:53:23,8305657.0,"{""exchange_name"": ""kucoin"", ""exchange_address"": ""0x45300136662dd4e58fc0df61e6290dffd992b785"", ""interacting_address"": ""0x9eace85e930f7d2de03ffe7700d859420b356db7"", ""tx_hash"": ""0x1fc5dee8d89bf8ae89a6a20ec563980d480d1aebc5fbc8cc754e063eea9161b2""}",eth_whale_dump,ETH Whale Dump,ETH/USDT
1681,ethereum,2025-01-17 23:40:11,6702247.0,"{""exchange_name"": ""gemini"", ""exchange_address"": ""0xf51710015536957a01f32558402902a2d9c35d82"", ""interacting_address"": ""0x4399f61795d3e50096e236a6d31ab24470c99fd5"", ""tx_hash"": ""0xeadc92a28cd6136731607d8554aa42e5e3f96c83800819e3935a5b070de2f65f""}",eth_whale_dump,ETH Whale Dump,ETH/USDT
1681,ethereum,2025-01-19 15:40:23,16921464.0,"{""exchange_name"": ""kucoin"", ""exchange_address"": ""0x45300136662dd4e58fc0df61e6290dffd992b785"", ""interacting_address"": ""0xb8e6d31e7b212b2b7250ee9c26c56cebbfbe6b23"", ""tx_hash"": ""0x2a3777afa9c651878e3cb4a75073f9b4b9d7e7b9b87b334120eb2a5bd96139e9""}",eth_whale_dump,ETH Whale Dump,ETH/USDT
1681,ethereum,2025-02-03 23:41:59,5750255.0,"{""exchange_name"": ""binance"", ""exchange_address"": ""0x0b2fdf416cf2951499de9a1adac65c8e9907c8c2"", ""interacting_address"": ""0xa7efae728d2936e78bda97dc267687568dd593f3"", ""tx_hash"": ""0xb7bb3b899769cbb7841a3c126675bcbf53da0fdd3d7219ece521ca755da3f992""}",eth_whale_dump,ETH Whale Dump,ETH/USDT
1681,ethereum,2025-02-03 23:46:23,28795176.0,"{""exchange_name"": ""gemini"", ""exchange_address"": ""0xf51710015536957a01f32558402902a2d9c35d82"", ""interacting_address"": ""0xd69b0089d9ca950640f5dc9931a41a5965f00303"", ""tx_hash"": ""0x637b3129023c3a9a21285ff3d140a1e90b6161f2680ca02ffbd8590f6764c84a""}",eth_whale_dump,ETH Whale Dump,ETH/USDT
1681,ethereum,2025-02-28 23:43:59,11166572.0,"{""exchange_name"": ""gemini"", ""exchange_address"": ""0xf51710015536957a01f32558402902a2d9c35d82"", ""interacting_address"": ""0xd69b0089d9ca950640f5dc9931a41a5965f00303"", ""tx_hash"": ""0x08ea8dd61aac8bcbac949db6a1bad69381f24e16409f69cc5fc0a61c09f9804c""}",eth_whale_dump,ETH Whale Dump,ETH/USDT
1681,ethereum,2025-03-12 07:43:11,2931291.0,"{""exchange_name"": ""gate_io"", ""exchange_address"": ""0xce7a533ca56ac3e18a8f36fbac929f8648bcc390"", ""interacting_address"": ""0x3a06446d5bf5c4d14549ee100fef902e1cdb262b"", ""tx_hash"": ""0x19239fa365289aa69a27dd1e528b89313cb9f4e3fb3577d936b6f2957c0b7246""}",eth_whale_dump,ETH Whale Dump,ETH/USDT
1681,ethereum,2025-03-25 07:43:47,5522617.0,"{""exchange_name"": ""coinbase_prime"", ""exchange_address"": ""0x7b4803afb3b3b3472b99d4620fa4738ab3da3a23"", ""interacting_address"": ""0xc1bd9354f4bab825494b8483d957382292ac6c98"", ""tx_hash"": ""0xfb6116f322aa123f3b65271799f661f0ae164d47ec41f9af1628c91f171135cf""}",eth_whale_dump,ETH Whale Dump,ETH/USDT
